Overall Rank,Positional Rank,Player Name,Team,Salary Cap Value,Bye Week
141,DST1,Browns D/ST,CLE,1,10
150,DST10,Bengals D/ST,CIN,1,12
189,DST11,Chiefs D/ST,KC,0,6
190,DST12,Lions D/ST,DET,0,5
235,DST13,Bears D/ST,CHI,0,7
236,DST14,Bills D/ST,BUF,0,12
254,DST15,Colts D/ST,IND,0,14
255,DST16,Seahawks D/ST,SEA,0,10
285,DST17,Texans D/ST,HOU,0,14
286,DST18,Panthers D/ST,CAR,0,11
297,DST19,Packers D/ST,GB,0,10
142,DST2,Cowboys D/ST,DAL,1,7
298,DST20,Eagles D/ST,PHI,0,5
299,DST21,Patriots D/ST,NE,0,14
300,DST22,Raiders D/ST,LV,0,10
143,DST3,Jets D/ST,NYJ,1,12
144,DST4,Ravens D/ST,BAL,1,14
145,DST5,49ers D/ST,SF,1,9
146,DST6,Steelers D/ST,PIT,1,9
147,DST7,Dolphins D/ST,MIA,1,6
148,DST8,Jaguars D/ST,JAC,1,12
149,DST9,Saints D/ST,NO,1,12
151,K1,Harrison Butker,KC,1,6
160,K10,Cairo Santos,CHI,1,7
191,K11,Younghoe Koo,ATL,0,12
192,K12,Jake Bates,DET,0,5
237,K13,Dustin Hopkins,CLE,0,10
238,K14,Matt Gay,IND,0,14
256,K15,Eddy Pineiro,CAR,0,11
257,K16,Chase McLaughlin,TB,0,11
287,K17,Jason Sanders,MIA,0,6
288,K18,Nick Folk,TEN,0,5
152,K2,Brandon Aubrey,DAL,1,7
153,K3,Justin Tucker,BAL,1,14
154,K4,Jake Elliott,PHI,1,5
155,K5,Greg Zuerlein,NYJ,1,12
156,K6,Ka'imi Fairbairn,HOU,1,14
157,K7,Evan McPherson,CIN,1,12
158,K8,Jake Moody,SF,1,9
159,K9,Cameron Dicker,LAC,1,5
29,QB1,Josh Allen,BUF,28,12
79,QB10,Jordan Love,GB,4,10
80,QB11,Brock Purdy,SF,4,9
81,QB12,Aaron Rodgers,NYJ,4,12
110,QB13,Justin Herbert,LAC,2,5
111,QB14,Jayden Daniels,WAS,2,14
112,QB15,Kirk Cousins,ATL,2,12
113,QB16,Caleb Williams,CHI,2,7
135,QB17,Deshaun Watson,CLE,1,10
136,QB18,Trevor Lawrence,JAC,1,12
161,QB19,Tua Tagovailoa,MIA,0,6
30,QB2,Jalen Hurts,PHI,27,5
162,QB20,Matthew Stafford,LAR,0,6
197,QB21,Jared Goff,DET,0,5
198,QB22,Bryce Young,CAR,0,11
199,QB23,Daniel Jones,NYG,0,11
200,QB24,Baker Mayfield,TB,0,11
218,QB25,Geno Smith,SEA,0,10
219,QB26,Will Levis,TEN,0,5
220,QB27,Russell Wilson,PIT,0,9
267,QB28,J.J. McCarthy,MIN,0,6
268,QB29,Drake Maye,NE,0,14
44,QB3,Lamar Jackson,BAL,17,14
269,QB30,Bo Nix,DEN,0,14
270,QB31,Derek Carr,NO,0,12
296,QB32,Gardner Minshew II,LV,0,10
45,QB4,Patrick Mahomes,KC,17,6
61,QB5,Anthony Richardson,IND,8,14
62,QB6,C.J. Stroud,HOU,8,14
63,QB7,Joe Burrow,CIN,8,12
64,QB8,Dak Prescott,DAL,7,7
78,QB9,Kyler Murray,ARI,4,11
1,RB1,Christian McCaffrey,SF,57,9
22,RB10,Derrick Henry,BAL,33,14
23,RB11,Rachaad White,TB,32,11
24,RB12,Alvin Kamara,NO,32,12
25,RB13,James Cook,BUF,31,12
26,RB14,Joe Mixon,HOU,30,14
31,RB15,Josh Jacobs,GB,26,10
32,RB16,Kenneth Walker III,SEA,25,10
33,RB17,De'Von Achane,MIA,24,6
65,RB18,Rhamondre Stevenson,NE,7,14
66,RB19,Jonathon Brooks,CAR,7,11
2,RB2,Breece Hall,NYJ,56,12
67,RB20,D'Andre Swift,CHI,7,7
71,RB21,Aaron Jones,MIN,6,6
72,RB22,James Conner,ARI,6,11
73,RB23,Zamir White,LV,6,10
74,RB24,David Montgomery,DET,5,5
75,RB25,Brian Robinson Jr.,WAS,5,14
76,RB26,Zack Moss,CIN,5,12
77,RB27,Najee Harris,PIT,5,9
96,RB28,Jaylen Warren,PIT,2,9
97,RB29,Javonte Williams,DEN,2,14
3,RB3,Bijan Robinson,ATL,55,12
98,RB30,Tyjae Spears,TEN,2,5
99,RB31,Tony Pollard,TEN,2,5
100,RB32,Austin Ekeler,WAS,2,14
101,RB33,Devin Singletary,NYG,2,11
102,RB34,Ezekiel Elliott,DAL,2,7
103,RB35,Raheem Mostert,MIA,2,6
114,RB36,Gus Edwards,LAC,2,5
115,RB37,Nick Chubb,CLE,2,10
116,RB38,J.K. Dobbins,LAC,2,5
117,RB39,Zach Charbonnet,SEA,2,10
9,RB4,Jonathan Taylor,IND,51,14
118,RB40,Tyler Allgeier,ATL,2,12
119,RB41,Ty Chandler,MIN,2,6
120,RB42,Antonio Gibson,NE,2,14
121,RB43,Jerome Ford,CLE,1,10
122,RB44,Chase Brown,CIN,1,12
137,RB45,Trey Benson,ARI,1,11
138,RB46,Blake Corum,LAR,1,6
163,RB47,Chuba Hubbard,CAR,0,11
164,RB48,Kendre Miller,NO,0,12
165,RB49,Jaleel McLaughlin,DEN,0,14
10,RB5,Saquon Barkley,PHI,50,5
166,RB50,MarShawn Lloyd,GB,0,10
167,RB51,Miles Sanders,CAR,0,11
168,RB52,Rico Dowdle,DAL,0,7
169,RB53,Khalil Herbert,CHI,0,7
170,RB54,Alexander Mattison,LV,0,10
171,RB55,Keaton Mitchell,BAL,0,14
172,RB56,Ray Davis,BUF,0,12
173,RB57,Jaylen Wright,MIA,0,6
195,RB58,Clyde Edwards-Helaire,KC,0,6
196,RB59,Roschon Johnson,CHI,0,7
11,RB6,Kyren Williams,LAR,48,6
212,RB60,Tyrone Tracy Jr.,NYG,0,11
213,RB61,Elijah Mitchell,SF,0,9
