ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,ESPN_Rank,ESPN_Positional_Rank,overallRating
830517,Christian McCaffrey,RB,1.2843014,SF,1,RB1,99
823156,Tyreek Hill,WR,2.2975693,MIA,5,WR2,99
448240,Travis Kelce,TE,29.847757,KC,28,TE2,99
839031,Patrick Mahomes,QB,41.14932,KC,45,QB4,99
1069535,Justin Jefferson,WR,6.3070164,MIN,8,WR5,98
877745,Lamar Jackson,QB,45.016777,BAL,44,QB3,98
733672,George Kittle,TE,65.72464,SF,68,TE6,97
1062020,CeeDee Lamb,WR,3.1373508,DAL,4,WR1,96
822857,Nick Chubb,RB,117.47932,CLE,115,RB37,96
1127106,Amon-Ra St. Brown,WR,4.8442082,DET,7,WR4,95
944826,A.J. Brown,WR,9.109231,PHI,12,WR6,95
611417,Davante Adams,WR,21.663404,LV,18,WR10,94
732145,Derrick Henry,RB,23.043007,BAL,22,RB10,94
820699,Mark Andrews,TE,54.65451,BAL,51,TE3,94
1109979,Ja'Marr Chase,WR,5.21646,CIN,6,WR3,93
878785,Joe Burrow,QB,80.79913,CIN,63,QB7,93
883302,Saquon Barkley,RB,14.247274,PHI,10,RB5,92
868199,Josh Allen,QB,35.975765,BUF,29,QB1,92
694041,Stefon Diggs,WR,39.014965,HOU,41,WR20,92
593587,Mike Evans,WR,26.337898,TB,20,WR12,91
1107034,Brandon Aiyuk,WR,32.56018,SF,38,WR17,91
820727,Joe Mixon,RB,57.314514,HOU,26,RB14,91
923915,T.J. Hockenson,TE,142.8383,MIN,90,TE12,91
978577,Travis Etienne Jr.,RB,30.356167,JAX,21,RB9,90
650914,Amari Cooper,WR,46.00077,CLE,56,WR32,90
557210,Keenan Allen,WR,59.511196,CHI,55,WR31,90
591816,Dak Prescott,QB,85.62015,DAL,64,QB8,90
832098,David Njoku,TE,90.07767,CLE,87,TE9,90
877790,DJ Moore,WR,31.854765,CHI,40,WR19,89
944416,Josh Jacobs,RB,41.838036,GB,31,RB15,89
836116,Terry McLaurin,WR,55.310246,WAS,83,WR36,89
560241,DeAndre Hopkins,WR,106.60683,TEN,57,WR33,89
698227,Cooper Kupp,WR,18.651234,LAR,46,WR23,88
1060262,DeVonta Smith,WR,28.661335,PHI,42,WR21,88
1164402,Kenneth Walker III,RB,59.62396,SEA,32,RB16,88
741314,Aaron Jones,RB,69.703026,MIN,71,RB21,88
749185,Evan Engram,TE,73.74739,JAX,60,TE5,88
973947,Tua Tagovailoa,QB,110.18518,MIA,161,QB19,88
605242,Tyler Lockett,WR,123.51973,SEA,95,WR44,88
501150,Kyle Juszczyk,RB,225.24254,SF,280,RB87,88
1065406,Jonathan Taylor,RB,14.683426,IND,9,RB4,87
835749,Deebo Samuel Sr.,WR,17.704725,SF,39,WR18,87
1125749,Jaylen Waddle,WR,26.20356,MIA,43,WR22,87
1106832,Isiah Pacheco,RB,30.539078,KC,16,RB8,87
911348,Michael Pittman Jr.,WR,36.032135,IND,19,WR11,87
910562,Justin Herbert,QB,140.84012,LAC,110,QB13,87
1122592,Chris Olave,WR,23.956263,NO,17,WR9,86
945633,DK Metcalf,WR,34.10401,SEA,37,WR16,86
1168926,Sam LaPorta,TE,38.0584,DET,27,TE1,86
913271,Jalen Hurts,QB,39.91317,PHI,30,QB2,86
606501,Raheem Mostert,RB,80.68627,MIA,103,RB35,86
880398,Tony Pollard,RB,93.892265,TEN,99,RB31,86
733754,Mike Williams,WR,134.24219,NYJ,94,WR43,86
1162537,Breece Hall,RB,7.191793,NYJ,2,RB2,85
1164889,Garrett Wilson,WR,10.215535,NYJ,14,WR8,85
1177053,Zay Flowers,WR,42.783546,BAL,47,WR24,85
978579,Tee Higgins,WR,48.872284,CIN,50,WR27,85
750846,Alvin Kamara,RB,57.15792,NO,24,RB12,85
835127,Chris Godwin,WR,64.32582,TB,53,WR29,85
1121761,Brock Purdy,QB,101.593445,SF,80,QB11,85
791365,Dallas Goedert,TE,112.389175,PHI,89,TE11,85
1162128,Puka Nacua,WR,12.408298,LAR,13,WR7,84
1214154,Jahmyr Gibbs,RB,14.680133,DET,15,RB7,84
1167361,Kyren Williams,RB,21.462652,LAR,11,RB6,84
865801,Christian Kirk,WR,54.499416,JAX,84,WR37,84
1069808,D'Andre Swift,RB,78.61897,CHI,67,RB20,84
838878,Courtland Sutton,WR,102.49221,DEN,86,WR39,84
830523,Dalton Schultz,TE,122.21778,HOU,133,TE15,84
403308,Kirk Cousins,QB,128.75401,ATL,112,QB15,84
976761,Gabe Davis,WR,131.78935,JAX,125,WR53,84
1074698,Nico Collins,WR,19.255526,HOU,36,WR15,83
1172053,George Pickens,WR,49.979057,PIT,52,WR28,83
884013,Calvin Ridley,WR,61.904106,TEN,48,WR25,83
1123026,Kyle Pitts,TE,64.0488,ATL,70,TE8,83
946739,David Montgomery,RB,64.13152,DET,74,RB24,83
742390,James Conner,RB,69.13172,ARI,72,RB22,83
891115,Diontae Johnson,WR,74.78419,CAR,82,WR35,83
973964,Najee Harris,RB,90.75508,PIT,77,RB27,83
323205,Matthew Stafford,QB,134.06395,LAR,162,QB20,83
1066765,Cole Kmet,TE,134.83475,CHI,134,TE16,83
213957,Aaron Rodgers,QB,146.19395,NYJ,81,QB12,83
1228244,Bijan Robinson,RB,6.812595,ATL,3,RB3,82
1178741,Drake London,WR,17.002934,ATL,35,WR14,82
1231820,De'Von Achane,RB,19.946758,MIA,33,RB17,82
1108161,Trey McBride,TE,46.496204,ARI,59,TE4,82
1176443,Jaylen Warren,RB,87.429726,PIT,96,RB28,82
1214250,Jordan Addison,WR,104.48436,MIN,85,WR38,82
727837,Jared Goff,QB,107.37152,DET,197,QB21,82
607864,Brandin Cooks,WR,116.99176,DAL,181,WR67,82
880151,Jakobi Meyers,WR,120.47239,LV,126,WR54,82
1116662,Pat Freiermuth,TE,130.78258,PIT,132,TE14,82
733643,Adam Thielen,WR,142.73228,CAR,127,WR55,82
1128222,Tank Dell,WR,41.01405,HOU,54,WR30,81
1131012,James Cook,RB,47.211227,BUF,25,RB13,81
1173538,Rashee Rice,WR,48.341167,KC,58,WR34,81
1214084,C.J. Stroud,QB,57.512165,HOU,62,QB6,81
1174682,Rhamondre Stevenson,RB,79.53047,NE,65,RB18,81
976220,Hollywood Brown,WR,83.63749,KC,104,WR45,81
912137,Jordan Love,QB,85.789406,GB,79,QB10,81
790004,Austin Ekeler,RB,108.13045,WAS,100,RB32,81
916466,Devin Singletary,RB,108.26786,NYG,101,RB33,81
973935,Jerry Jeudy,WR,137.27385,CLE,124,WR52,81
589984,Odell Beckham Jr.,WR,226.4838,MIA,231,WR87,81
838487,Gerald Everett,TE,228.1577,CHI,,,81
604176,Tyler Higbee,TE,231.973,LAR,,,81
658389,Patrick Ricard,RB,,BAL,,,81
1229343,Rachaad White,RB,50.452354,TB,23,RB11,80
1214087,Jaxon Smith-Njigba,WR,86.58994,SEA,93,WR42,80
821389,Curtis Samuel,WR,91.34924,BUF,128,WR56,80
1107881,Javonte Williams,RB,103.66474,DEN,97,RB29,80
973966,Brian Robinson Jr.,RB,112.5538,WAS,75,RB25,80
739799,Gus Edwards,RB,126.17244,LAC,114,RB36,80
1131198,Tyler Allgeier,RB,150.02446,ATL,118,RB40,80
744425,Hunter Henry,TE,170.18738,NE,188,TE21,80
742387,Tyler Boyd,WR,188.4382,TEN,203,WR75,80
1108998,Dameon Pierce,RB,192.35281,HOU,246,RB75,80
884083,Dawson Knox,TE,221.07188,BUF,259,TE28,80
754412,Kendrick Bourne,WR,227.85323,NE,182,WR68,80
1287828,Marvin Harrison Jr.,WR,13.367641,ARI,34,WR13,79
1135513,Dalton Kincaid,TE,52.271423,BUF,69,TE7,79
1065361,Jake Ferguson,TE,83.34033,DAL,88,TE10,79
1175184,Jameson Williams,WR,83.87614,DET,129,WR57,79
1122653,Romeo Doubs,WR,93.64063,GB,176,WR62,79
913170,Zack Moss,RB,103.19292,CIN,76,RB26,79
1059612,Joshua Palmer,WR,109.03874,LAC,180,WR66,79
1169430,Tyjae Spears,RB,111.48623,TEN,98,RB30,79
923412,Rashid Shaheed,WR,124.34815,NO,130,WR58,79
728338,Ezekiel Elliott,RB,131.76828,DAL,102,RB34,79
748070,Baker Mayfield,QB,143.49364,TB,200,QB24,79
1215077,Josh Downs,WR,158.44447,IND,184,WR70,79
1050833,Elijah Mitchell,RB,197.96738,SF,213,RB61,79
746491,Zay Jones,WR,219.2302,ARI,209,WR79,79
1123398,Jayden Reed,WR,67.363556,GB,92,WR41,78
1285917,Brock Bowers,TE,97.40683,LV,131,TE13,78
1121878,Jahan Dotson,WR,136.02246,WAS,193,WR71,78
976513,J.K. Dobbins,RB,140.27301,LAC,116,RB38,78
1062047,Chuba Hubbard,RB,143.79126,CAR,163,RB47,78
513856,Geno Smith,QB,158.72478,SEA,218,QB25,78
1108208,Rashod Bateman,WR,176.062,BAL,210,WR80,78
743749,Jonnu Smith,TE,189.03983,MIA,258,TE27,78
836152,Mike Gesicki,TE,199.91927,CIN,,,78
1060545,AJ Dillon,RB,207.88019,GB,276,RB83,78
880557,Darius Slayton,WR,222.61807,NYG,204,WR76,78
822367,Josh Reynolds,WR,223.62318,DEN,274,WR100,78
1128783,Elijah Moore,WR,224.43378,CLE,262,WR94,78
691055,Nelson Agholor,WR,226.20575,BAL,253,WR92,78
1130270,Rondale Moore,WR,227.1714,ATL,230,WR86,78
838179,Tim Patrick,WR,227.87392,DEN,271,WR97,78
915066,Reggie Gilliam,RB,,BUF,,,78
1059943,Spencer Brown,RB,,FA,,,78
1286059,Malik Nabers,WR,28.081802,NYG,49,WR26,77
879799,Kyler Murray,QB,71.00056,ARI,78,QB9,77
1067918,Christian Watson,WR,77.61211,GB,91,WR40,77
1326601,Jonathon Brooks,RB,114.013626,CAR,66,RB19,77
1110711,Trevor Lawrence,QB,117.188126,JAX,136,QB18,77
1125737,Jerome Ford,RB,117.641174,CLE,121,RB43,77
912027,Darnell Mooney,WR,149.44801,ATL,123,WR51,77
935104,Khalil Herbert,RB,173.92911,CHI,169,RB53,77
1213799,Marvin Mims Jr.,WR,188.0257,DEN,183,WR69,77
923109,Justice Hill,RB,207.36082,BAL,226,RB67,77
867009,Jauan Jennings,WR,208.94966,SF,,,77
884609,Juwan Johnson,TE,210.93819,NO,187,TE20,77
944343,Alexander Mattison,RB,221.96706,LV,170,RB54,77
742382,Marquez Valdes-Scantling,WR,224.40985,BUF,,,77
976251,Cam Akers,RB,225.0604,HOU,,,77
974825,Kadarius Toney,WR,225.8689,KC,,,77
881956,Hayden Hurst,TE,227.69417,LAC,217,TE26,77
609496,Allen Robinson II,WR,,NYG,,,77
880322,Alec Ingold,RB,,MIA,,,77
1213727,Rome Odunze,WR,80.78804,CHI,105,WR46,76
1286445,Caleb Williams,QB,100.19431,CHI,113,QB16,76
1130603,Khalil Shakir,WR,107.10582,BUF,175,WR61,76
1248031,Trey Benson,RB,131.24371,ARI,137,RB45,76
1123529,Michael Wilson,WR,155.21956,ARI,224,WR82,76
861278,Tyler Conklin,TE,173.53398,NYJ,139,TE17,76
401534,Russell Wilson,QB,204.78024,PIT,220,QB27,76
503177,Zach Ertz,TE,216.88623,WAS,293,TE34,76
835443,D'Onta Foreman,RB,224.7221,CLE,248,RB77,76
555693,Robert Woods,WR,224.7592,HOU,,,76
1050234,Donovan Peoples-Jones,WR,225.4966,DET,,,76
1130705,Kenneth Gainwell,RB,226.0066,PHI,225,RB66,76
695311,Jamaal Williams,RB,226.08287,NO,221,RB63,76
924261,Miles Sanders,RB,226.16644,CAR,167,RB51,76
836103,Noah Brown,WR,226.9421,HOU,,,76
1107027,Alec Pierce,WR,226.9652,IND,,,76
690153,Cordarrelle Patterson,RB,227.2215,PIT,281,RB88,76
692660,Kalif Raymond,WR,227.47723,DET,252,WR91,76
820734,Samaje Perine,RB,229.833,DEN,214,RB62,76
1326638,Xavier Worthy,WR,67.95041,KC,106,WR47,75
1286064,Brian Thomas Jr.,WR,91.7684,JAX,109,WR50,75
1172428,Dontayvion Wicks,WR,124.99509,GB,234,WR90,75
1229540,Blake Corum,RB,126.24752,LAR,138,RB46,75
1164530,Zach Charbonnet,RB,141.36964,SEA,117,RB39,75
503184,Taysom Hill,TE,145.65292,NO,185,TE18,75
828743,Deshaun Watson,QB,149.59492,CLE,135,QB17,75
1049263,Cade Otton,TE,155.06657,TB,216,TE25,75
1164875,Wan'Dale Robinson,WR,164.6912,NYG,202,WR74,75
1107826,Antonio Gibson,RB,166.2193,NE,120,RB42,75
1110681,Justin Fields,QB,172.48734,PIT,315,QB36,75
496083,Derek Carr,QB,177.39983,NO,270,QB31,75
1175693,DeMario Douglas,WR,181.84087,NE,174,WR60,75
923911,Noah Fant,TE,184.64044,SEA,215,TE24,75
837958,Allen Lazard,WR,223.14091,NYJ,,,75
976650,Clyde Edwards-Helaire,RB,224.69136,KC,195,RB58,75
920756,Devin Duvernay,WR,225.0175,JAX,,,75
1106760,Tutu Atwell,WR,225.35872,LAR,295,WR104,75
836104,Parris Campbell,WR,226.9111,PHI,,,75
599649,Jamison Crowder,WR,,WAS,273,WR99,75
915397,C.J. Ham,RB,,MIN,,,75
214197,Marcedes Lewis,TE,,CHI,,,75
1215022,Anthony Richardson,QB,62.288532,IND,61,QB5,74
1110697,Zamir White,RB,76.6614,LV,73,RB23,74
1161228,Jayden Daniels,QB,93.90591,WAS,111,QB14,74
1218643,Ladd McConkey,WR,94.11174,LAC,107,WR48,74
933480,Rico Dowdle,RB,122.739914,DAL,168,RB52,74
1286513,Jaylen Wright,RB,153.97813,MIA,173,RB57,74
1271738,Jaleel McLaughlin,RB,160.55269,DEN,165,RB49,74
1066424,Jalen Tolbert,WR,174.09996,DAL,211,WR81,74
1286803,Drake Maye,QB,208.21494,NE,268,QB29,74
1160348,John Metchie III,WR,225.0735,HOU,,,74
820866,Braxton Berrios,WR,225.0878,MIA,,,74
832220,Justin Watson,WR,225.15768,KC,,,74
880146,Nyheim Hines,RB,225.5882,CLE,245,RB74,74
1222789,Keaton Mitchell,RB,225.666,BAL,171,RB55,74
881058,K.J. Osborn,WR,227.4396,NE,,,74
691278,Sterling Shepard,WR,227.5789,TB,,,74
1172024,Treylon Burks,WR,228.04851,TEN,,,74
1232592,Michael Mayer,TE,228.1281,LV,,,74
837806,Will Dissly,TE,231.195,LAC,,,74
1166545,Deonte Harty,WR,,BAL,,,74
593305,C.J. Uzomah,TE,,PHI,,,74
823040,Isaiah McKenzie,WR,,NYG,,,74
1322431,Keon Coleman,WR,75.46053,BUF,108,WR49,73
1179790,Luke Musgrave,TE,152.6863,GB,207,TE23,73
1161416,Ricky Pearsall,WR,167.3458,SF,194,WR72,73
727279,Demarcus Robinson,WR,169.11005,LAR,201,WR73,73
1213414,MarShawn Lloyd,RB,174.9667,GB,166,RB50,73
