ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,Mapped Name,ESPN_Rank,ESPN_Positional_Rank,Team,ESPN_Salary_Cap_Value,Bye Week
830517,Christian McCaffrey,RB,1.2843014,SF,Christian McCaffrey,1,RB1,SF,57,9
823156,Tyreek Hill,WR,2.2975693,MIA,Tyreek Hill,5,WR2,MIA,54,6
1062020,CeeDee Lamb,WR,3.1373508,DAL,CeeDee Lamb,4,WR1,DAL,55,7
1127106,Amon-Ra St. Brown,WR,4.8442082,DET,Amon-Ra St. Brown,7,WR4,DET,53,5
1109979,Ja'Marr Chase,WR,5.21646,CIN,Ja'Marr Chase,6,WR3,CIN,53,12
1069535,Justin Jefferson,WR,6.3070164,MIN,Justin Jefferson,8,WR5,MIN,52,6
1228244,Bijan Robinson,RB,6.812595,ATL,Bijan Robinson,3,RB3,ATL,55,12
1162537,Breece Hall,RB,7.191793,NYJ,Breece Hall,2,RB2,NYJ,56,12
944826,A.J. Brown,WR,9.109231,PHI,A.J. Brown,12,WR6,PHI,46,5
1164889,Garrett Wilson,WR,10.215535,NYJ,Garrett Wilson,14,WR8,NYJ,43,12
1162128,Puka Nacua,WR,12.408298,LAR,Puka Nacua,13,WR7,LAR,45,6
1287828,Marvin Harrison Jr.,WR,13.367641,ARI,Marvin Harrison Jr.,34,WR13,ARI,23,11
883302,Saquon Barkley,RB,14.247274,PHI,Saquon Barkley,10,RB5,PHI,50,5
1214154,Jahmyr Gibbs,RB,14.680133,DET,Jahmyr Gibbs,15,RB7,DET,42,5
1065406,Jonathan Taylor,RB,14.683426,IND,Jonathan Taylor,9,RB4,IND,51,14
1178741,Drake London,WR,17.002934,ATL,Drake London,35,WR14,ATL,22,12
835749,Deebo Samuel Sr.,WR,17.704725,SF,Deebo Samuel Sr.,39,WR18,SF,21,9
698227,Cooper Kupp,WR,18.651234,LAR,Cooper Kupp,46,WR23,LAR,15,6
1074698,Nico Collins,WR,19.255526,HOU,Nico Collins,36,WR15,HOU,22,14
1231820,De'Von Achane,RB,19.946758,MIA,De'Von Achane,33,RB17,MIA,24,6
1167361,Kyren Williams,RB,21.462652,LAR,Kyren Williams,11,RB6,LAR,48,6
611417,Davante Adams,WR,21.663404,LV,Davante Adams,18,WR10,LV,37,10
732145,Derrick Henry,RB,23.043007,BAL,Derrick Henry,22,RB10,BAL,33,14
1122592,Chris Olave,WR,23.956263,NO,Chris Olave,17,WR9,NO,38,12
1125749,Jaylen Waddle,WR,26.20356,MIA,Jaylen Waddle,43,WR22,MIA,18,6
593587,Mike Evans,WR,26.337898,TB,Mike Evans,20,WR12,TB,35,11
1286059,Malik Nabers,WR,28.081802,NYG,Malik Nabers,49,WR26,NYG,13,11
1060262,DeVonta Smith,WR,28.661335,PHI,DeVonta Smith,42,WR21,PHI,19,5
448240,Travis Kelce,TE,29.847757,KC,Travis Kelce,28,TE2,KC,29,6
978577,Travis Etienne Jr.,RB,30.356167,JAX,Travis Etienne Jr.,21,RB9,JAC,34,12
1106832,Isiah Pacheco,RB,30.539078,KC,Isiah Pacheco,16,RB8,KC,40,6
877790,DJ Moore,WR,31.854765,CHI,DJ Moore,40,WR19,CHI,20,7
1107034,Brandon Aiyuk,WR,32.56018,SF,Brandon Aiyuk,38,WR17,SF,21,9
945633,DK Metcalf,WR,34.10401,SEA,DK Metcalf,37,WR16,SEA,22,10
868199,Josh Allen,QB,35.975765,BUF,Josh Allen,29,QB1,BUF,28,12
911348,Michael Pittman Jr.,WR,36.032135,IND,Michael Pittman Jr.,19,WR11,IND,36,14
1168926,Sam LaPorta,TE,38.0584,DET,Sam LaPorta,27,TE1,DET,30,5
694041,Stefon Diggs,WR,39.014965,HOU,Stefon Diggs,41,WR20,HOU,19,14
913271,Jalen Hurts,QB,39.91317,PHI,Jalen Hurts,30,QB2,PHI,27,5
1128222,Tank Dell,WR,41.01405,HOU,Tank Dell,54,WR30,HOU,10,14
839031,Patrick Mahomes,QB,41.14932,KC,Patrick Mahomes,45,QB4,KC,17,6
944416,Josh Jacobs,RB,41.838036,GB,Josh Jacobs,31,RB15,GB,26,10
1177053,Zay Flowers,WR,42.783546,BAL,Zay Flowers,47,WR24,BAL,15,14
877745,Lamar Jackson,QB,45.016777,BAL,Lamar Jackson,44,QB3,BAL,17,14
650914,Amari Cooper,WR,46.00077,CLE,Amari Cooper,56,WR32,CLE,10,10
1108161,Trey McBride,TE,46.496204,ARI,Trey McBride,59,TE4,ARI,9,11
1131012,James Cook,RB,47.211227,BUF,James Cook,25,RB13,BUF,31,12
1173538,Rashee Rice,WR,48.341167,KC,Rashee Rice,58,WR34,KC,9,6
978579,Tee Higgins,WR,48.872284,CIN,Tee Higgins,50,WR27,CIN,13,12
1172053,George Pickens,WR,49.979057,PIT,George Pickens,52,WR28,PIT,11,9
1229343,Rachaad White,RB,50.452354,TB,Rachaad White,23,RB11,TB,32,11
1135513,Dalton Kincaid,TE,52.271423,BUF,Dalton Kincaid,69,TE7,BUF,6,12
865801,Christian Kirk,WR,54.499416,JAX,Christian Kirk,84,WR37,JAC,4,12
820699,Mark Andrews,TE,54.65451,BAL,Mark Andrews,51,TE3,BAL,12,14
836116,Terry McLaurin,WR,55.310246,WAS,Terry McLaurin,83,WR36,WAS,4,14
750846,Alvin Kamara,RB,57.15792,NO,Alvin Kamara,24,RB12,NO,32,12
820727,Joe Mixon,RB,57.314514,HOU,Joe Mixon,26,RB14,HOU,30,14
1214084,C.J. Stroud,QB,57.512165,HOU,C.J. Stroud,62,QB6,HOU,8,14
557210,Keenan Allen,WR,59.511196,CHI,Keenan Allen,55,WR31,CHI,10,7
1164402,Kenneth Walker III,RB,59.62396,SEA,Kenneth Walker III,32,RB16,SEA,25,10
884013,Calvin Ridley,WR,61.904106,TEN,Calvin Ridley,48,WR25,TEN,14,5
1215022,Anthony Richardson,QB,62.288532,IND,Anthony Richardson,61,QB5,IND,8,14
1123026,Kyle Pitts,TE,64.0488,ATL,Kyle Pitts,70,TE8,ATL,6,12
946739,David Montgomery,RB,64.13152,DET,David Montgomery,74,RB24,DET,5,5
835127,Chris Godwin,WR,64.32582,TB,Chris Godwin,53,WR29,TB,11,11
733672,George Kittle,TE,65.72464,SF,George Kittle,68,TE6,SF,6,9
1123398,Jayden Reed,WR,67.363556,GB,Jayden Reed,92,WR41,GB,3,10
1326638,Xavier Worthy,WR,67.95041,KC,Xavier Worthy,106,WR47,KC,2,6
742390,James Conner,RB,69.13172,ARI,James Conner,72,RB22,ARI,6,11
741314,Aaron Jones,RB,69.703026,MIN,Aaron Jones,71,RB21,MIN,6,6
879799,Kyler Murray,QB,71.00056,ARI,Kyler Murray,78,QB9,ARI,4,11
749185,Evan Engram,TE,73.74739,JAX,Evan Engram,60,TE5,JAC,9,12
891115,Diontae Johnson,WR,74.78419,CAR,Diontae Johnson,82,WR35,CAR,4,11
1322431,Keon Coleman,WR,75.46053,BUF,Keon Coleman,108,WR49,BUF,2,12
1110697,Zamir White,RB,76.6614,LV,Zamir White,73,RB23,LV,6,10
1067918,Christian Watson,WR,77.61211,GB,Christian Watson,91,WR40,GB,3,10
1069808,D'Andre Swift,RB,78.61897,CHI,D'Andre Swift,67,RB20,CHI,7,7
1174682,Rhamondre Stevenson,RB,79.53047,NE,Rhamondre Stevenson,65,RB18,NE,7,14
606501,Raheem Mostert,RB,80.68627,MIA,Raheem Mostert,103,RB35,MIA,2,6
1213727,Rome Odunze,WR,80.78804,CHI,Rome Odunze,105,WR46,CHI,2,7
878785,Joe Burrow,QB,80.79913,CIN,Joe Burrow,63,QB7,CIN,8,12
1065361,Jake Ferguson,TE,83.34033,DAL,Jake Ferguson,88,TE10,DAL,3,7
976220,Hollywood Brown,WR,83.63749,KC,Marquise Brown,104,WR45,KC,2,6
1175184,Jameson Williams,WR,83.87614,DET,Jameson Williams,129,WR57,DET,1,5
